name,Year,Series,Value,Source
Japan,2010,Population mid-year estimates for females (millions),65.69,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2010,Sex ratio (males per 100 females),95.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2010,Population aged 0 to 14 years old (percentage),13.2,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2010,Population aged 60+ years old (percentage),31.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2010,Population density,340.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2015,Population mid-year estimates (millions),127.25,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2015,Population mid-year estimates for males (millions),61.93,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2015,Population mid-year estimates for females (millions),65.32,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2015,Sex ratio (males per 100 females),94.8,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2015,Population aged 0 to 14 years old (percentage),12.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2015,Population aged 60+ years old (percentage),33.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2015,Population density,337.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2020,Population mid-year estimates (millions),125.24,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2020,Population mid-year estimates for males (millions),60.88,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2020,Population mid-year estimates for females (millions),64.36,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2020,Sex ratio (males per 100 females),94.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2020,Population aged 0 to 14 years old (percentage),11.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2020,Population aged 60+ years old (percentage),35.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2020,Population density,332.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2020,Surface area (thousand km2),378,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Japan,2022,Population mid-year estimates (millions),123.95,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2022,Population mid-year estimates for males (millions),60.24,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2022,Population mid-year estimates for females (millions),63.71,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Japan,2022,Sex ratio (males per 100 females),94.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Japan,2022,Population aged 0 to 14 years old (percentage),11.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
